Owner Statement,Marcus Webb,,,,
Period,2026-07-01 to 2026-07-31,,,,
Status,RECONCILED / CLOSED,,,,
Properties covered,1,,,,
Beginning balance,1240.00,,,,
,,,,,
Date,Description,Memo,Unit,Category,Amount
2026-07-03,Rent received,July base rent,12A,Income,1450.00
2026-07-02,Rent received,July base rent,12B,Income,1325.00
2026-07-05,Rent received,July base rent,14,Income,1600.00
2026-07-09,Late fee,12B - received 2 days late,12B,Income,75.00
2026-07-31,Management fee,8% of base rent collected (4375),ALL,Expense,350.00
2026-07-18,Maintenance - Ridgeline Plumbing,Kitchen faucet cartridge replacement,12A,Expense,180.00
2026-07-05,Landscaping - GreenSpan,Monthly grounds contract,ALL,Expense,145.00
2026-07-22,Water / sewer - City Utilities,July billing,ALL,Expense,212.40
2026-07-31,Owner distribution,ACH to owner,,Distribution,3600.00
,,,,,
Total income,4450.00,,,,
Total expenses,887.40,,,,
Distributions,3600.00,,,,
Ending balance,1202.60,,,,
